"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1511912305344524288","Thu Apr 07 03:42:38 +0000 2022","150","Kota Solo memiliki Aplikasi Solo Destination yang terintegrasi dgn city guide sosial media dan pemantauan lalu lintas berbasis mobile pertama di Indonesia. Warga dapat mengakses berbagai layanan. Ada Aduan Masyarakat E-pajak Perizinan/MPP Radio Anak https://t.co/wX3O94Eycl https://t.co/qKgaZ8xZLh","1511912305344524288","https://pbs.twimg.com/ext_tw_video_thumb/1511911193069625348/pu/img/YplnVaTEhPSD3WhL.jpg","","in","","2","2","22","https://twitter.com/gibran_tweet/status/1511912305344524288","1356478042797797377","gibran_tweet"
"1067673023379951616","Wed Nov 28 06:54:19 +0000 2018","0","Aplikasi Solo Destination Versi iOS Dukung Program Solo Smart City https://t.co/VWhmKQZVzv https://t.co/b8uL2dQ1Dv","1067673023379951616","https://pbs.twimg.com/media/DtEi9OGU8AAudyb.jpg","","in","Denpasar Selatan, Indonesia","0","0","0","https://twitter.com/banglintas/status/1067673023379951616","971732639886360576","banglintas"
"1005330569176276992","Sat Jun 09 06:07:40 +0000 2018","0","Memanjakan Wisata Indonesia Solo meluncurkan Aplikasi Solo Destination https://t.co/Mb72GZtfxe https://t.co/sPwiThhXDJ","1005330569176276992","https://pbs.twimg.com/media/DfOm0xWUcAIdaJB.jpg","","in","Indonesia","0","0","0","https://twitter.com/epicnesia/status/1005330569176276992","2365918238","epicnesia"
"1670681633555640320","Mon Jun 19 06:35:15 +0000 2023","0","Teknologi informasi (IT) kini kian mengakrabi pelayanan publik yang diselenggarakan Pemkot Surakarta. Usai diluncurkannya aplikasi Solo Destination pada 2014 bermacam aplikasi layanan publik telah dioperasikan Pemkot guna memudahkan warga mengakses pelayanan tersebut. https://t.co/gHB2HBTIBj","1670681633555640320","https://pbs.twimg.com/media/Fy90AolaAAAH-4D.jpg","","in","","1","0","0","https://twitter.com/roadsafetycult/status/1670681633555640320","1484320449752604678","roadsafetycult"
"1006458622627307520","Tue Jun 12 13:45:07 +0000 2018","5","@InfoTwitwor bisa juga download Aplikasi di Android Solo Destination https://t.co/KwV5hcRqy9","1006532854824820736","https://pbs.twimg.com/media/DffsSYCVMAADLk3.jpg","kujisa","in","","0","1","5","https://twitter.com/kujisa/status/1006532854824820736","2319301809","kujisa"
"1784266983309271229","Sun Apr 28 10:11:00 +0000 2024","0","@EvolvedNaanX @UNSfess_ ..terkait pertanyaan soal DLH kemana saranku sendernya sering jalan2 kalo senggang hehe btw ini ada Ss aplikasi Solo Destination punya ku udah sering tak pake buat WADUL WADULAN https://t.co/juSFVX98X6","1784525715733696931","https://pbs.twimg.com/media/GMPorPDbYAAYsD7.jpg","oholysprite","in","TAG-SOC, FULL AC , TARIP BIASA","0","0","0","https://twitter.com/oholysprite/status/1784525715733696931","255917395","oholysprite"
"1394835730216603649","Wed May 19 02:02:07 +0000 2021","0","Salam Pramuka!! Salam Pramuka Scout Triska Pramuka SMP Negeri Surakarta Hari / tanggal : Rabu / 19 Mei 2021 Waktu : pk. 14.00-15.00 Live on Radio Konata 102.5 / Live streaming on Aplikasi Solo Destination Ikuti Kuis interaktifnya dan dapatkan Hadiah Menariknya! https://t.co/OsRZJ3LtyQ","1394835730216603649","https://pbs.twimg.com/media/E1tzs33VkAMJCCO.jpg","","in","Surakarta, Jawa Tengah","0","0","0","https://twitter.com/disdiksurakarta/status/1394835730216603649","1266189054040670208","disdiksurakarta"
"1425624772163997699","Thu Aug 12 01:06:47 +0000 2021","1","Ayo Warga Solo segera bayar PBB Anda mulai tgl 16 Agustus secara online (e-banking mobile banking ATM dan menu e-pajak di aplikasi Solo Destination) maupun offline (BPPKAD Korwil Pelayanan Pajak di 5 Kecamatan Mall Pelayanan Publik Bank Jateng BNI BTN Bank Mandiri BCA).. https://t.co/OtYT5sLn4X","1425624772163997699","https://pbs.twimg.com/media/E8jVrZjVgAMoz6t.jpg","","in","Surakarta, Indonesia","0","1","1","https://twitter.com/bppkadsurakarta/status/1425624772163997699","1349557227649056771","bppkadsurakarta"
"1702245550983385589","Thu Sep 14 08:59:00 +0000 2023","6","Hai Lur! Di Solo Car Free Day kamu bisa menemui booth layanan dari Pemerintah Kota Surakarta salah satunya booth yang bisa kamu kunjungi untuk cari informasi terkait Kota Solo seperti informasi tentang aplikasi supernya Kota Solo yaitu Solo Destination. Penasaran? https://t.co/yIUpa3o9hZ","1702245550983385589","https://pbs.twimg.com/ext_tw_video_thumb/1702245284389277696/pu/img/f0u1qVvs0d9G1PhE.jpg","","in","","0","1","1","https://twitter.com/PEMKOT_SOLO/status/1702245550983385589","3347793914","PEMKOT_SOLO"
"1643435571149430789","Wed Apr 05 02:09:08 +0000 2023","6","Kota Solo punya kanal aduan yang super keren namanya ULAS. Melalui kanal ini masyarakat Kota Solo bisa menuliskan aduan terkait Kota Solo termasuk jika menemui parkir liar. Akses ULAS lebih mudah di aplikasi Solo Destination. https://t.co/thLXPLlZbh","1643435571149430789","https://pbs.twimg.com/media/Fs6musDaMAAU9Lz.jpg","","in","","0","1","2","https://twitter.com/PEMKOT_SOLO/status/1643435571149430789","3347793914","PEMKOT_SOLO"
"1714122641550999726","Tue Oct 17 03:34:19 +0000 2023","3","Holaaa #SobatMonpers Radio Komunitas Anak Surakarta yang di singkat dengan Radio Konata ini dikelola oleh Pemerintah Kota Surakarta lho! Radio Konata bisa didengarkan melalui jaringan 102.5 FM dan mengudara 24 jam penuh atau streaming di aplikasi Solo Radio Destination. https://t.co/kHmvQwfFhl","1714122641550999726","https://pbs.twimg.com/media/F8nJGskbMAExDSR.jpg","","in","Surakarta, Jawa Tengah","0","1","1","https://twitter.com/monumenpers/status/1714122641550999726","918392930","monumenpers"
"1597127282774409216","Mon Nov 28 07:16:32 +0000 2022","0","14:15 Sosialisasi Smart City solo di Car Free Day pada tanggal 27 November 2022 guna meningkatkan awareness masyarakat Kota Solo terhadap kondisi emergency maupun contigency. Masyarakat Kota Solo dapat Menggunakan fitur Pannic Button pada aplikasi Solo Destination. https://t.co/txnqfFlDbJ","1597127282774409216","https://pbs.twimg.com/ext_tw_video_thumb/1597127113664258049/pu/img/_EwL4uB5DDccv7NQ.jpg","","in","Surakarta, Jawa Tengah","0","0","0","https://twitter.com/Staffelingsolo/status/1597127282774409216","1470729304703062016","Staffelingsolo"
"1594973961330118656","Tue Nov 22 08:40:00 +0000 2022","0","Solo Destination Berwisata di Kota Bengawan dengan Mudah Nyaman dan Aman @soclyfecom https://t.co/JNuo3bTBuR #surakarta #solodestination #petadigital #aplikasi #teknologi #aplikasimap #petasolo #kreatif #fasilitas #berita #infoterkini #soclyfe https://t.co/DIiZ67qydo","1594973961330118656","https://pbs.twimg.com/media/FiJEZfMVQAAMKd_.jpg","","in","","0","0","0","https://twitter.com/soclyfecom/status/1594973961330118656","1541272197591089152","soclyfecom"
"1376889385296089089","Tue Mar 30 13:45:35 +0000 2021","4","Menurutnya kolaborasi aplikasi itu turut meningkatkan jaminan keamanan Solo. Menurutnya aplikasi Solo Destination juga bisa digunakan sehingga pengecekan kejadian pun bisa dilakukan melalui aplikasi itu. https://t.co/VeffpiVhAc","1376893370375671812","https://pbs.twimg.com/media/Exu1NZBVEAgBLV_.jpg","Aryprasetyo85","in","Jawa Tengah, Indonesia","0","1","1","https://twitter.com/Aryprasetyo85/status/1376893370375671812","435004096","Aryprasetyo85"
"1580364200722825216","Thu Oct 13 01:06:01 +0000 2022","10","Siapa disini yang belanja kebutuhan sehari-hari tapi kadang suka bingung bikin budgetnya ? sebelum belanja bahan-bahan pangan kalian bisa cek dulu harga pangan melalui aplikasi Solo Destination. https://t.co/sefi1GZwI5","1580364200722825216","https://pbs.twimg.com/media/Fe6UaXkVsAAosve.jpg","","in","","1","0","4","https://twitter.com/PEMKOT_SOLO/status/1580364200722825216","3347793914","PEMKOT_SOLO"
"1649667281419669507","Sat Apr 22 06:51:43 +0000 2023","0","13:50 Laporkan keadaan Emergency di sekitarmu melalui Solo Destination - Electronic Policing dan Pannic Button. Aplikasi yang merupakan bentuk inovasi dan kolaborasi Pemerintah Surakarta dengan Kepolisian yang memberikan pelayanan kejadian emergency dan contigency. https://t.co/135xgoWLkz","1649667281419669507","https://pbs.twimg.com/ext_tw_video_thumb/1649667110656970752/pu/img/q0ZiCuC7fLOqe4Ln.jpg","","in","Surakarta, Jawa Tengah","0","0","0","https://twitter.com/Staffelingsolo/status/1649667281419669507","1470729304703062016","Staffelingsolo"
"1380778966152146949","Sat Apr 10 07:05:33 +0000 2021","7","Semoga Salah Setelah mendapat laporan bertanya dan mengecek di aplikasi solo destination sepertinya pajak reklame videotron di belakang saya ini belum dibayar padahal sudah tayang sejak akhir oktober 2020. Mungkin @PEMKOT_SOLO bisa memberi penjelasan. #kotasolo https://t.co/BeFXC0rExV","1380778966152146949","https://pbs.twimg.com/media/EymDIbsUcAAKSXP.jpg","","in","Surakarta.","1","2","0","https://twitter.com/ginda8G/status/1380778966152146949","224152262","ginda8G"
"1066632325797097472","Sun Nov 25 09:58:58 +0000 2018","9","Aplikasi Solo Destination Versi IOS Dukung Program Solo Smart City Seiring berjalannya #SoloSmartCity masyarakat bisa mengakses dan mencermati layanan apa yg dilakukan Pemerintah Kota. Disinilah keterbukaan informasi publik keseluruhan hal tersebut demi kesejahteraan bersama. https://t.co/45CNbG7jQr","1066632325797097472","https://pbs.twimg.com/media/Ds1wcK1U4AAr08J.jpg","","in","Indonesia","1","1","2","https://twitter.com/PDI_Perjuangan/status/1066632325797097472","153407983","PDI_Perjuangan"
